Ticker,Date,Open,High,Low,Close,Adj Close,Volume,is_gap,log_return,Volatility,Volatility_Norm,AdaptiveWindow,AdaptivePatch,dynamic_patch_len
SNA,1973-02-21,9.0,9.0,9.0,9.0,3.333477258682251,27000,False,,,,50,48,16
SNA,1973-02-22,8.916666984558105,8.916666984558105,8.916666984558105,8.916666984558105,3.3026108741760254,36000,False,-0.009302651346476988,,,50,48,16
SNA,1973-02-23,8.416666984558105,8.416666984558105,8.416666984558105,8.416666984558105,3.117417812347412,64800,False,-0.05770829474827032,,,50,48,16
SNA,1973-02-26,8.375,8.375,8.375,8.375,3.101982831954956,42600,True,-0.004963504673102175,,,50,48,16
SNA,1973-02-27,8.166666984558105,8.166666984558105,8.166666984558105,8.166666984558105,3.024821519851685,70200,False,-0.025189442190422164,,,50,48,16
SNA,1973-02-28,8.541666984558105,8.541666984558105,8.541666984558105,8.541666984558105,3.163714647293091,115800,False,0.044894770469719146,0.037232577011657365,0.295900973540027,38,40,13
SNA,1973-03-01,8.625,8.625,8.625,8.625,3.1945807933807373,96600,False,0.009709013631582119,0.0383340101100587,0.3046544671809351,37,40,13
SNA,1973-03-02,8.875,8.875,8.875,8.875,3.287177085876465,81000,False,0.02857329570954193,0.027491231467840247,0.218482920282451,41,40,13
SNA,1973-03-05,8.791666984558105,8.791666984558105,8.791666984558105,8.791666984558105,3.25631046295166,163800,True,-0.00943437322700372,0.028188074110922993,0.2240209848764712,41,40,13
SNA,1973-03-06,8.708333015441895,8.708333015441895,8.708333015441895,8.708333015441895,3.2254459857940674,278400,False,-0.009523563768818107,0.023880560049954168,0.18978758750032507,42,40,13
SNA,1973-03-07,8.875,8.875,8.875,8.875,3.287177085876465,177000,False,0.01895793699582174,0.017005147543376162,0.13514615740138955,44,48,16
SNA,1973-03-08,8.916666984558105,8.916666984558105,8.916666984558105,8.916666984558105,3.3026108741760254,85200,False,0.0046841618009514675,0.017001999468096853,0.1351211384901379,44,48,16
SNA,1973-03-09,8.875,8.875,8.875,8.875,3.287177085876465,145800,False,-0.004684161800951598,0.01207261139664575,0.0959454797963469,46,48,16
SNA,1973-03-12,8.833333015441895,8.833333015441895,8.833333015441895,8.833333015441895,3.2717442512512207,39000,True,-0.004705914985960147,0.011309933221939298,0.08988419603608741,46,48,16
