Ticker,MSE,MAE,RSE
AAL,0.027785036712884903,0.1112525463104248,0.7099113464355469
AAP,0.11053545773029327,0.2471543699502945,0.42965027689933777
ABBV,0.1973917931318283,0.3405633866786957,0.4151367247104645
ABC,0.12355485558509827,0.2674522399902344,0.1844116896390915
ABT,0.4519199728965759,0.4672106206417084,0.13694684207439423
ACGL,0.33999523520469666,0.3740442097187042,0.2506735622882843
ACN,0.4781000018119812,0.49915754795074463,0.3124812841415405
ADBE,5.326995372772217,1.4750460386276245,0.209877148270607
ADI,0.35633397102355957,0.4275481402873993,0.1609824150800705
ADM,0.20182058215141296,0.30631181597709656,0.17812559008598328
