Ticker,Date,Open,High,Low,Close,Adj Close,Volume,is_gap,log_return,RSI,SMA_20,EMA_20,MACD,ATR,Volatility,Volatility_Norm,AdaptiveWindow,AdaptivePatch,dynamic_patch_len
ABC,1995-04-04,2.9375,2.96875,2.8125,2.953125,2.2621889114379883,40387200,False,,,,2.953125,0.0,,,,50,48,16
ABC,1995-04-05,2.90625,2.96875,2.84375,2.84375,2.178405523300171,12236800,False,-0.0377396915722649,,,2.942708333333333,-0.0087250712250708,,,,50,48,16
ABC,1995-04-06,2.84375,2.9375,2.84375,2.890625,2.214313268661499,3776000,False,0.016349120845071,,,2.9377480158730163,-0.0117222059885877,,,,50,48,16
ABC,1995-04-07,2.90625,2.90625,2.84375,2.84375,2.178405523300171,1920800,False,-0.0163491208450711,,,2.92879582388511,-0.0176761183419,,,,50,48,16
ABC,1995-04-10,2.84375,2.90625,2.84375,2.875,2.2023441791534424,2047200,True,0.0109291312035463,,,2.923672412086528,-0.0196465497487183,,,,50,48,16
ABC,1995-04-11,2.84375,2.90625,2.84375,2.859375,2.190373182296753,4096800,False,-0.0054503968758643,,,2.917548849030668,-0.0222128814805708,,0.0217937530457959,0.1315228494073567,44,48,16
ABC,1995-04-12,2.84375,2.875,2.84375,2.859375,2.190373182296753,2457600,False,0.0,,,2.9120084824563186,-0.0239704019943518,,0.0130166905722573,0.0770859736318301,46,48,16
ABC,1995-04-13,2.84375,2.875,2.84375,2.875,2.2023441791534424,2297600,False,0.0054503968758644,,,2.908483865079526,-0.0238277710351275,,0.0104914019074798,0.0614236918882189,47,48,16
ABC,1995-04-17,2.84375,2.953125,2.84375,2.953125,2.2621889114379883,2233600,True,0.0268105603687187,,,2.912735401738619,-0.0172122878501506,,0.0123774880767864,0.0731215280161974,47,48,16
ABC,1995-04-18,2.890625,2.953125,2.875,2.9375,2.2502222061157227,2441600,False,-0.0053039198175953,,,2.9150939349063694,-0.0130795042966762,,0.013358931912451,0.0792086142507777,46,48,16
ABC,1995-04-19,2.875,2.90625,2.8125,2.84375,2.178405523300171,1422400,False,-0.0324357717546696,,,2.9082992744390963,-0.0171711467627955,,0.0213466655603104,0.1287499346671986,44,48,16
ABC,1995-04-20,2.8125,2.8125,2.71875,2.734375,2.0946204662323,1023200,False,-0.0392208225996582,,,2.8917350578258487,-0.0289062381905211,,0.0272368623176174,0.1652819646188618,43,40,13
ABC,1995-04-21,2.71875,2.8125,2.71875,2.796875,2.142497301101685,2803200,False,0.0225997365337966,,,2.8827007666043394,-0.0327852273354287,,0.0303983351703254,0.184889971907111,42,40,13
ABC,1995-04-24,2.75,2.8125,2.75,2.75,2.106590032577514,644800,True,-0.0169015699052287,,,2.870062598356307,-0.0391900168098096,0.0870535714285714,0.0244909702815482,0.1482514622029161,44,48,16
ABC,1995-04-25,2.75,2.8125,2.75,2.8125,2.154466152191162,484800,False,0.0224724257774922,40.42553191489362,,2.864580446131897,-0.0387756493973188,0.0803571428571428,0.0296376737388799,0.1801722167383778,42,40,13
ABC,1995-04-26,2.75,2.8125,2.75,2.75,2.106590032577514,151200,False,-0.0224724257774921,43.18181818181818,,2.853668022690764,-0.0429948698075062,0.0758928571428571,0.0279282573303043,0.1695701173500202,43,40,13
ABC,1995-04-27,2.75,2.8125,2.75,2.78125,2.1305270195007324,3552000,False,0.0112988342240259,41.860465116279066,,2.8467710681487866,-0.0433176793048608,0.0736607142857142,0.0216582261769837,0.1306822880755884,44,48,16
ABC,1995-04-28,2.78125,2.8125,2.765625,2.765625,2.118557929992676,1076000,False,-0.0056337405853672,43.90243902439024,,2.839042871182236,-0.0443233827081459,0.0725446428571428,0.0189065723621345,0.1136160501004343,45,48,16
ABC,1995-05-01,2.8125,2.8125,2.765625,2.765625,2.118557929992676,2287200,True,0.0,41.02564102564102,,2.832050692974404,-0.0446062171955272,0.0714285714285714,0.0170514212843685,0.1021100788179414,45,48,16
ABC,1995-05-02,2.765625,2.890625,2.765625,2.84375,2.178405523300171,1212000,False,0.0278575623324317,48.83720930232558,2.83671875,2.833164912691128,-0.0380872844754351,0.0758928571428571,0.0188151193842155,0.113048842744524,45,48,16
ABC,1995-05-03,2.8125,2.890625,2.78125,2.859375,2.190373182296753,791200,False,0.005478734327682,50.0,2.83203125,2.8356611114824486,-0.0312993766807707,0.0814732142857142,0.0128573063634693,0.0760974449070398,46,48,16
ABC,1995-05-04,2.84375,2.890625,2.8125,2.8125,2.154466152191162,1011200,False,-0.0165289645212801,45.65217391304348,2.83046875,2.833455291341263,-0.0293638434891589,0.0848214285714285,0.0164775315234628,0.098550714199374,46,48,16
