Ticker,date,Open,High,Low,Close,Adj Close,Volume,is_gap,log_return,Volatility,Volatility_Norm,AdaptiveWindow,AdaptivePatch,dynamic_patch_len
LIN,1992-10-15,7.625,7.75,7.5625,7.5625,4.473454475402832,944000,False,-0.016393458799969847,0.023861850983066188,0.2370522934847594,40,40,13
LIN,1992-10-16,7.5625,7.625,7.5625,7.625,4.510424613952637,404800,False,0.00823037506970723,0.012970824284030073,0.12445422837892231,45,48,16
LIN,1992-10-19,7.625,7.875,7.625,7.875,4.658304691314697,336200,True,0.03226028328118469,0.018152529102615635,0.17802584771706642,42,40,13
LIN,1992-10-20,7.9375,8.0625,7.8125,7.875,4.658304691314697,1016800,False,0.0,0.01775581198760887,0.17392434463764736,43,40,13
LIN,1992-10-21,7.875,7.875,7.8125,7.875,4.658304691314697,297000,False,0.0,0.01775581198760887,0.17392434463764736,43,40,13
LIN,1992-10-22,7.875,7.9375,7.625,7.75,4.584364891052246,648800,False,-0.01600000453983256,0.017638783061951675,0.17271442835017914,43,40,13
LIN,1992-10-23,7.625,7.75,7.625,7.75,4.584364891052246,455400,False,0.0,0.017634105376426477,0.17266606758917236,43,40,13
LIN,1992-10-26,7.75,7.875,7.75,7.8125,4.621335983276367,757600,True,0.008032259900952726,0.00877240493629078,0.08104841291983496,46,48,16
LIN,1992-10-27,7.875,8.0,7.8125,7.9375,4.695277690887451,611600,False,0.015873419839792863,0.011831978508738284,0.11268014735833669,45,48,16
LIN,1992-10-28,7.9375,8.0,7.875,8.0,4.732249736785889,1490800,False,0.007843463882765717,0.01208713832040367,0.11531814484748387,45,48,16
LIN,1992-10-29,7.9375,7.9375,7.8125,7.8125,4.621335983276367,442000,False,-0.023716883722558667,0.015228178780579036,0.14779213357310103,44,48,16
LIN,1992-10-30,7.875,7.9375,7.8125,7.875,4.658304691314697,786200,False,0.007967744638879861,0.015433551772776312,0.1499154046094723,44,48,16
LIN,1992-11-02,7.9375,8.0,7.875,7.9375,4.695277690887451,529000,True,0.007905675200913056,0.015423744034204311,0.14981400623659263,44,48,16
LIN,1992-11-03,7.9375,8.0625,7.9375,7.9375,4.695277690887451,1005000,False,0.0,0.013693019701679653,0.1319207243212049,44,48,16
LIN,1992-11-04,7.9375,7.9375,7.875,7.9375,4.695277690887451,338000,False,0.0,0.013001646466756124,0.12477288687028373,45,48,16
LIN,1992-11-05,7.875,8.0625,7.875,8.0625,4.7692179679870605,1018800,False,0.015625086448127934,0.006551656314439943,0.058088961546073396,47,48,16
LIN,1992-11-06,7.9375,8.25,7.9375,8.125,4.806190013885498,1850000,False,0.007722329889650069,0.006536938497362977,0.05793679979206772,47,48,16
LIN,1992-11-09,8.0625,8.4375,8.0625,8.25,4.880130290985107,1272200,True,0.015267245143145397,0.007724119099283883,0.07021059567940197,47,48,16
LIN,1992-11-10,8.25,8.5625,8.25,8.375,4.954072952270508,2574600,False,0.015038138410421861,0.006842651154921748,0.06109744338157682,47,48,16
LIN,1992-11-11,8.4375,8.5,8.375,8.5,5.028013706207275,974400,False,0.0148149598088504,0.003351428688375322,0.02500305986290025,48,48,16
LIN,1992-11-12,8.4375,8.4375,8.25,8.3125,4.917101860046387,1504400,False,-0.02230571259194108,0.016197186600896092,0.1578103264079218,43,40,13
LIN,1992-11-13,8.25,8.375,8.1875,8.375,4.954072952270508,654600,False,0.007490752783090575,0.016191744441810835,0.15775406205379508,43,40,13
LIN,1992-11-16,8.375,8.375,8.0625,8.125,4.806190013885498,2219600,True,-0.03030538355356724,0.021628010483844554,0.2139574903116413,41,40,13
LIN,1992-11-17,8.125,8.1875,8.0,8.0625,4.7692179679870605,2032000,False,-0.007722329889650141,0.01911784819833959,0.1880059042711334,42,40,13
LIN,1992-11-18,8.0625,8.3125,8.0625,8.25,4.880130290985107,807200,False,0.022989575032795594,0.02169093075616916,0.2146079983964585,41,40,13
LIN,1992-11-19,8.1875,8.3125,8.125,8.25,4.880130290985107,1040000,False,0.0,0.019693209379998196,0.19395433848050875,42,40,13
LIN,1992-11-20,8.3125,8.3125,8.125,8.25,4.880130290985107,1954000,False,0.0,0.01911375218312554,0.18796355717195798,42,40,13
LIN,1992-11-23,8.1875,8.25,8.0,8.0,4.732249736785889,1565400,True,-0.030771197598157725,0.019280476085878517,0.189687250389838,42,40,13
